Round,Institute,Program,Quota,Seat,Gender,Note,Opening Rank (int),Closing Rank (int)
Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering  (Artificial Intelligence & data Science),HS,OPEN,Gender-Neutral,AF,934083,934083
Round 1,"Dr. Bhim Rao Ambedkar University, Agra",Electronics and Communication Engineering,HS,SC,Female-only (including Supernumerary),,1184680,1184680
Round 1,"I.M.S. Engineering College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Female-only (including Supernumerary),,622944,622944
Round 1,"Buddha Institute Of Technology,Gorakhpur",Electronics and Communication Engineering (FW),HS,OPEN,Gender-Neutral,TF,448076,448076
Round 1,"J.S.S. Academy Of Technical Education,Gautam Buddh Nagar",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,FF,1059594,1059594
Round 1,"Allenhouse Institute Of Technology,Kanpur",Electronics and Communication Engineering,HS,OPEN,Female-only (including Supernumerary),,832837,943583
Round 1,"Kiet Group Of Institutions(Krishna Instt. Of Engg. & Technology),Ghaziabad",Mechanical Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,695641,841986
Round 1,"Raj Kumar Goel Instt. Of Technology,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,EWS,Female-only (including Supernumerary),,931551,1008535
Round 1,"B.B.S.College Of Engginering And Technology,Allahabad",Civil Engineering,HS,OPEN,Gender-Neutral,,728804,1242758
Round 1,"Bundelkhand University, Jhansi",Biomedical Engineering,HS,OPEN,Female-only (including Supernumerary),,1171763,1171763
Round 1,"Raj Kumar Goel Instt. Of Technology,Ghaziabad",Civil Engineering,HS,OPEN,Female-only (including Supernumerary),,1234360,1386500
Round 1,"Dr.M.C.Saxena College Of Engg. & Technology,Lucknow",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,161090,1401228
Round 1,"Moradabad Institute Of Technology,Moradabad",Mechanical Engineering,HS,OPEN,Gender-Neutral,,337074,1450500
Round 1,"Inderprastha Engg. College,Ghaziabad",Computer Science and Engineering,HS,EWS,Female-only (including Supernumerary),,1119955,1275634
Round 1,"Samrat Ashok Rajkiya Engineering College, Mirzapur",Information Technology,HS,ST,Gender-Neutral,,1192278,1192278
Round 1,"Veer Kunwar Institute Of Technology,Bijnaur",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1475039,1475039
Round 1,"S.R.Institute Of Management & Technology,Lucknow",Computer Science and Engineering (Artificial Intelligence),HS,OBC-NCL,Gender-Neutral,,1206309,1430546
Round 1,"Kashi Institute Of Technology,Varanasi",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,116181,1297655
Round 1,"J.S.S. Academy Of Technical Education,Gautam Buddh Nagar",Computer Science and Engineering,HS,ST,Female-only (including Supernumerary),,1037865,1037865
Round 1,"Meerut International Institute Of Technology,Meerut",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,1086288,1086288
Round 1,Maharaja Suhel Dev State University Azamgarh.,Computer Science Engineering,HS,OBC-NCL,Gender-Neutral,,699641,866818
Round 1,"Axis Institute Of Technology & Management,Kanpur",Electrical Engineering,HS,OPEN,Female-only (including Supernumerary),,574607,574607
Round 1,"Abes Engg.College,Ghaziabad",Electronics and Communication Engineering,HS,SC,Gender-Neutral,,829555,1418516
Round 1,"Sunrise Institute Of Engineering Technical & Management,Unnao",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,244571,244571
Round 1,"United College Of Engineering & Research,Allahabad",Electrical Engineering,HS,OPEN,Gender-Neutral,,331662,1456014
Round 1,"Institute Of Engg. & Rural Technology,Allahabad",Electronics Engineering,HS,ST,Gender-Neutral,,718265,718265
Round 1,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science And Engineering(Data Science),HS,SC,Gender-Neutral,,911479,911479
Round 1,"Rajkiya Engineering College,Kannauj",Civil Engineering,HS,SC,Female-only (including Supernumerary),,866651,866651
Round 1,"United College Of Engineering & Research,Allahabad",Computer Science and Engineering,HS,EWS,Female-only (including Supernumerary),,1127594,1127594
Round 1,"Abes Institute Of Technology,Ghaziabad",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,577986,1069846
Round 1,"Institute Of Engineering & Technology,Lucknow",Mechanical Engineering,HS,SC,Gender-Neutral,AF,475743,475743
Round 1,"G.C.R.G. Memorial Trust'S Group Of Institutions, Faculty Of Engineering,Lucknow",Computer Science & Engineering (Cyber Security),HS,OPEN,Female-only (including Supernumerary),,406322,406322
Round 1,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Computer Science and Engineering (Collaboration & Twining Program),HS,SC,Female-only (including Supernumerary),,1002791,1183580
Round 1,"Bharat Institute Of Technology,Meerut",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),HS,OPEN,Gender-Neutral,TF,921746,921746
Round 1,"Kamla Nehru Institute Of Technology,Sultanpur",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,FF,642640,642640
Round 1,"Raja Balwant Singh Engineering Technical Campus,Agra",Computer Science and Engineering,HS,OPEN (PwD),Gender-Neutral,,1110513,1110513
Round 1,"G.L.Bajaj Group Of Institutions,Mathura",Computer Science,HS,SC,Female-only (including Supernumerary),,1127116,1127116
Round 1,"Kiet Group Of Institutions(Krishna Instt. Of Engg. & Technology),Ghaziabad",Computer Science and Engineering,HS,ST,Female-only (including Supernumerary),,476252,476252
