Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Opening Rank (int),Closing Rank (int)
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,OPEN,Gender-Neutral,330525,466849,330525,466849
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,EWS,Gender-Neutral,1057006,1057006,1057006,1057006
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,OBC-NCL,Gender-Neutral,978969,978969,978969,978969
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,OBC-NCL,Female-only (including Supernumerary),773714,773714,773714,773714
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,SC,Gender-Neutral,468153,649441,468153,649441
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,SC,Female-only (including Supernumerary),522566,522566,522566,522566
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,894611,1320868,894611,1320868
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),513668,513668,513668,513668
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,OPEN,Gender-Neutral,115654,123330,115654,123330
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,OPEN,Female-only (including Supernumerary),133428,133428,133428,133428
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,EWS,Gender-Neutral,133137,143555,133137,143555
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,OBC-NCL,Gender-Neutral,132633,153932,132633,153932
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,OBC-NCL,Female-only (including Supernumerary),197352,197352,197352,197352
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,SC,Gender-Neutral,279167,279807,279167,279807
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,208394,237011,208394,237011
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,463716,463716,463716,463716
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,417610,435554,417610,435554
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,424449,424449,424449,424449
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),404843,404843,404843,404843
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,673384,673384,673384,673384
