Institute,Program,Quota,Seat,Gender,Note,Code,Opening Rank (int),Closing Rank (int)
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Computer Science & Engineering,HS,OPEN,Gender-Neutral,Defence,OPDFHS,267901,345801
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Computer Science & Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,103410,179114
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Computer Science & Engineering,HS,SC,Gender-Neutral,,SCNOHS,545736,1059550
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Computer Science & Engineering,OS,OPEN,Gender-Neutral,Defence,OPDFOS,101084,101084
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Computer Science & Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,58591,79034
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Computer Science & Engineering,OS,OPEN (PwD),Gender-Neutral,,OPPHOS,574211,574211
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Computer Science & Engineering,OS,SC,Gender-Neutral,,SCNOOS,308701,353184
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Computer Science & Engineering,OS,ST,Gender-Neutral,,STNOOS,576006,576006
Bhagwan Parshuram Institute of Delhi-110085,Engineering,HS,OPEN,Gender-Neutral,Defence,OPDFHS,735201,735201
Bhagwan Parshuram Institute of Delhi-110085,Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,354619,354619
Bhagwan Parshuram Institute of Delhi-110085,Engineering,HS,SC,Gender-Neutral,,SCNOHS,914782,914782
Bhagwan Parshuram Institute of Delhi-110085,Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,112421,112421
Bhagwan Parshuram Institute of Delhi-110085,Engineering,OS,SC,Gender-Neutral,,SCNOOS,504057,504057
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Electronics & Communication Engineering,HS,OPEN,Gender-Neutral,Defence,OPDFHS,402308,503220
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Electronics & Communication Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,201392,286487
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Electronics & Communication Engineering,HS,SC,Gender-Neutral,,SCNOHS,505444,1277133
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Electronics & Communication Engineering,OS,OPEN,Gender-Neutral,Defence,OPDFOS,107704,107704
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Electronics & Communication Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,85798,100042
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Electronics & Communication Engineering,OS,SC,Gender-Neutral,,SCNOOS,468961,531339
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Information Technology,HS,OPEN,Gender-Neutral,Defence,OPDFHS,297086,366544
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Information Technology,HS,OPEN,Gender-Neutral,,OPNOHS,172125,215269
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Information Technology,HS,SC,Gender-Neutral,,SCNOHS,1134228,1355426
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Information Technology,OS,OPEN,Gender-Neutral,Defence,OPDFOS,106147,106147
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Information Technology,OS,OPEN,Gender-Neutral,,OPNOOS,71440,71440
"Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085",Information Technology,OS,SC,Gender-Neutral,,SCNOOS,364917,408843
Bharati Vidyapeeths College of Engineering,Computer Science & |Engineering,AI,OPEN,Gender-Neutral,Kashmiri Migrant,NOKMAI,228906,228906
Bharati Vidyapeeths College of Engineering,Computer Science & |Engineering,HS,OPEN,Gender-Neutral,Defence,OPDFHS,210711,303162
Bharati Vidyapeeths College of Engineering,Computer Science & |Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,81514,159959
Bharati Vidyapeeths College of Engineering,Computer Science & |Engineering,HS,OPEN (PwD),Gender-Neutral,,OPPHHS,425888,425888
Bharati Vidyapeeths College of Engineering,Computer Science & |Engineering,HS,SC,Gender-Neutral,,SCNOHS,396798,963389
Bharati Vidyapeeths College of Engineering,Computer Science & |Engineering,OS,OPEN,Gender-Neutral,Defence,OPDFOS,85414,85414
Bharati Vidyapeeths College of Engineering,Computer Science & |Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,65507,79459
Bharati Vidyapeeths College of Engineering,Computer Science & |Engineering,OS,SC,Gender-Neutral,Defence,SCDFOS,758968,758968
Bharati Vidyapeeths College of Engineering,Computer Science & |Engineering,OS,SC,Gender-Neutral,,SCNOOS,302012,340873
Bharati Vidyapeeths College of Engineering,Computer Science & |Engineering,OS,ST,Gender-Neutral,,STNOOS,1215890,1215890
Bharati Vidyapeeths College of Engineering,CSE- AIML,HS,OPEN,Gender-Neutral,Defence,OPDFHS,217359,330119
Bharati Vidyapeeths College of Engineering,CSE- AIML,HS,OPEN,Gender-Neutral,,OPNOHS,101096,167623
