Institute,Program,Quota,Seat,Gender,Note,Code,Opening Rank (int),Closing Rank (int)
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,GNGND,11352,11352
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,GNGLD,15118,15118
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,EWS,Gender-Neutral,,EWGND,27670,27670
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,EWS,Female-only (including Supernumerary),,EWGLD,31247,31247
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,,OBGND,49930,49930
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,OBGLD,60658,60658
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,SC,Gender-Neutral,,SCGND,109484,109484
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,SCGLD,127751,127751
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,ST,Gender-Neutral,,STGND,356659,356659
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,ST,Female-only (including Supernumerary),,STGLD,375308,375308
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),Single Girl,GNSGD,17868,17868
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,OPEN (PwD),Gender-Neutral,,GNPDD,164943,164943
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,EWS (PwD),Gender-Neutral,,EWPDD,293227,293227
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,OBC-NCL (PwD),Gender-Neutral,,OBPDD,863726,863726
"Delhi Technological University, Bawana Road, Delhi-110042",Computer Science and Engineering,HS,SC (PwD),Gender-Neutral,,SCPDD,701955,701955
